Sentence_ID,Token,BIO_Tag
1,"depression,",B-MENTAL_HEALTH
1,"depression,",B-MENTAL_HEALTH
1,"depression,",B-MENTAL_HEALTH
2,these,B-SOCIAL_SUPPORT
2,were,I-SOCIAL_SUPPORT
2,discussed,I-SOCIAL_SUPPORT
2,with,I-SOCIAL_SUPPORT
2,the,I-SOCIAL_SUPPORT
2,patient,I-SOCIAL_SUPPORT
2,and,I-SOCIAL_SUPPORT
2,her,I-SOCIAL_SUPPORT
2,family,I-SOCIAL_SUPPORT
3,family,B-SOCIAL_SUPPORT
3,history,I-SOCIAL_SUPPORT
4,she,B-ALCOHOL_USE
4,has,I-ALCOHOL_USE
4,no,I-ALCOHOL_USE
4,history,I-ALCOHOL_USE
4,of,I-ALCOHOL_USE
4,drinking.,I-ALCOHOL_USE
5,quit,B-SMOKING
5,smoking,I-SMOKING
5,in,I-SMOKING
5,,I-SMOKING
5,date,I-SMOKING
5,,I-SMOKING
5,has,I-SMOKING
5,,I-SMOKING
5,date,I-SMOKING
5,,I-SMOKING
5,children.,I-SMOKING
6,family,B-SOCIAL_SUPPORT
6,history,I-SOCIAL_SUPPORT
7,she,B-ALCOHOL_USE
7,has,I-ALCOHOL_USE
7,no,I-ALCOHOL_USE
7,history,I-ALCOHOL_USE
7,of,I-ALCOHOL_USE
7,drinking.,I-ALCOHOL_USE
8,quit,B-SMOKING
8,smoking,I-SMOKING
8,in,I-SMOKING
8,,I-SMOKING
8,date,I-SMOKING
8,,I-SMOKING
8,has,I-SMOKING
8,,I-SMOKING
8,date,I-SMOKING
8,,I-SMOKING
8,children.,I-SMOKING
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
9,"depression,",B-MENTAL_HEALTH
10,family,B-SOCIAL_SUPPORT
11,history,B-SMOKING
11,of,I-SMOKING
11,tobacco,I-SMOKING
11,use,I-SMOKING
11,stroke,I-SMOKING
11,appendectomy,I-SMOKING
11,in,I-SMOKING
12,personal,B-SMOKING
12,history,I-SMOKING
12,of,I-SMOKING
12,tobacco,I-SMOKING
12,use,I-SMOKING
12,splenomegaly,I-SMOKING
12,stroke,I-SMOKING
12,vitamin,I-SMOKING
12,d,I-SMOKING
12,deficiency,I-SMOKING
12,appendectomy,I-SMOKING
12,in,I-SMOKING
12,,I-SMOKING
12,date,I-SMOKING
12,,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
13,personal,B-SMOKING
13,history,I-SMOKING
13,of,I-SMOKING
13,tobacco,I-SMOKING
13,use,I-SMOKING
13,splenomegaly,I-SMOKING
13,stroke,I-SMOKING
13,vitamin,I-SMOKING
13,d,I-SMOKING
13,deficiency,I-SMOKING
13,appendectomy,I-SMOKING
13,in,I-SMOKING
14,history,B-SMOKING
14,of,I-SMOKING
14,tobacco,I-SMOKING
14,"use,",I-SMOKING
14,"splenomegaly,",I-SMOKING
15,,B-SMOKING
15,"cigarettes,",I-SMOKING
15,no,I-SMOKING
16,",",B-SMOKING
16,stopped,I-SMOKING
16,smoking,I-SMOKING
16,,I-SMOKING
16,date,I-SMOKING
16,",",I-SMOKING
16,and,I-SMOKING
17,,B-SOCIAL_SUPPORT
17,supportive,I-SOCIAL_SUPPORT
17,family,I-SOCIAL_SUPPORT
18,drink,B-ALCOHOL_USE
18,alcohol,I-ALCOHOL_USE
19,easily,B-ALCOHOL_USE
19,a,I-ALCOHOL_USE
19,six,I-ALCOHOL_USE
19,pack,I-ALCOHOL_USE
19,or,I-ALCOHOL_USE
19,better,I-ALCOHOL_USE
19,a,I-ALCOHOL_USE
19,day,I-ALCOHOL_USE
19,on,I-ALCOHOL_USE
19,weekends,I-ALCOHOL_USE
19,and,I-ALCOHOL_USE
19,five,I-ALCOHOL_USE
19,to,I-ALCOHOL_USE
19,six,I-ALCOHOL_USE
19,shots,I-ALCOHOL_USE
19,of,I-ALCOHOL_USE
19,alcohol,I-ALCOHOL_USE
20,family,B-SOCIAL_SUPPORT
20,history,I-SOCIAL_SUPPORT
21,"depression,",B-MENTAL_HEALTH
22,,B-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,significant,I-SOCIAL_SUPPORT
22,other,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,family,I-SOCIAL_SUPPORT
22,member,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,primary,I-SOCIAL_SUPPORT
22,care,I-SOCIAL_SUPPORT
22,physician,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,physician,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,consulting,I-SOCIAL_SUPPORT
22,or,I-SOCIAL_SUPPORT
22,referring,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,pharmacy,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
22,other,I-SOCIAL_SUPPORT
22,,I-SOCIAL_SUPPORT
23,n,B-SOCIAL_SUPPORT
23,,I-SOCIAL_SUPPORT
23,y,I-SOCIAL_SUPPORT
23,recommendations,I-SOCIAL_SUPPORT
23,,I-SOCIAL_SUPPORT
23,patient,I-SOCIAL_SUPPORT
23,and,I-SOCIAL_SUPPORT
23,family,I-SOCIAL_SUPPORT
23,verbalize,I-SOCIAL_SUPPORT
23,understanding?,I-SOCIAL_SUPPORT
24,n,B-SOCIAL_SUPPORT
24,,I-SOCIAL_SUPPORT
24,y,I-SOCIAL_SUPPORT
24,does,I-SOCIAL_SUPPORT
24,patient,I-SOCIAL_SUPPORT
24,and,I-SOCIAL_SUPPORT
24,family,I-SOCIAL_SUPPORT
24,agree,I-SOCIAL_SUPPORT
24,with,I-SOCIAL_SUPPORT
24,plan?,I-SOCIAL_SUPPORT
25,patient,B-SOCIAL_SUPPORT
25,and,I-SOCIAL_SUPPORT
25,family,I-SOCIAL_SUPPORT
25,instructed,I-SOCIAL_SUPPORT
25,to,I-SOCIAL_SUPPORT
26,personal,B-SMOKING
26,history,I-SMOKING
26,of,I-SMOKING
26,tobacco,I-SMOKING
26,use,I-SMOKING
26,splenomegaly,I-SMOKING
26,stroke,I-SMOKING
26,vitamin,I-SMOKING
26,d,I-SMOKING
26,deficiency,I-SMOKING
